study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,static,1600,7,620,0,0.242965,0.2004,0.1260,0.1549,19a70bf14c5c667f,1,4.98
strong,omp,dynamic,1600,7,620,0,0.221447,0.1785,0.1523,0.1696,19a70bf14c5c667f,1,4.98
strong,omp,static,1600,8,620,0,0.224295,0.1792,0.1086,0.1392,19a70bf14c5c667f,1,5.22
strong,omp,dynamic,1600,8,620,0,0.201150,0.1686,0.1306,0.1534,19a70bf14c5c667f,1,5.22
strong,omp,static,1600,9,620,0,0.249643,0.1658,0.1062,0.1357,19a70bf14c5c667f,1,5.22
strong,omp,dynamic,1600,9,620,0,0.201806,0.1619,0.1213,0.1470,19a70bf14c5c667f,1,5.22
strong,omp,static,1600,10,620,0,0.235119,0.1548,0.0901,0.1276,19a70bf14c5c667f,1,5.22
strong,omp,dynamic,1600,10,620,0,0.197260,0.1564,0.1094,0.1385,19a70bf14c5c667f,1,5.22
strong,seq,seq,3200,1,155,0,0.846487,,,,89d681858ac1fdd6,1,5.22
strong,omp,static,3200,1,155,0,0.843421,0.8434,0.8434,0.8434,89d681858ac1fdd6,1,5.22
strong,omp,dynamic,3200,1,155,0,0.858834,0.8588,0.8588,0.8588,89d681858ac1fdd6,1,5.22
strong,omp,static,3200,2,155,0,0.439067,0.4373,0.4246,0.4309,89d681858ac1fdd6,1,5.22
strong,omp,dynamic,3200,2,155,0,0.438836,0.4354,0.4299,0.4327,89d681858ac1fdd6,1,5.22
strong,omp,static,3200,3,155,0,0.320816,0.3096,0.3032,0.3062,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,3,155,0,0.311740,0.3064,0.3000,0.3030,89d681858ac1fdd6,1,5.04
strong,omp,static,3200,4,155,0,0.241614,0.2357,0.2220,0.2313,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,4,155,0,0.242866,0.2358,0.2319,0.2345,89d681858ac1fdd6,1,5.04
strong,omp,static,3200,5,155,0,0.280246,0.2727,0.1815,0.2030,89d681858ac1fdd6,1,5.04
strong,omp,dynamic,3200,5,155,0,0.236561,0.2265,0.1917,0.2090,89d681858ac1fdd6,1,5.04
