study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,static,3200,4,156,0,1.021474,1.0146,0.9520,0.9795,9e0bf857c97eb34,2,2.59
strong,omp,dynamic,3200,4,156,0,1.081700,1.0020,0.9676,0.9851,9e0bf857c97eb34,2,2.71
strong,omp,static,3200,5,156,0,0.813204,0.8069,0.7718,0.7877,9e0bf857c97eb34,2,2.71
strong,omp,dynamic,3200,5,156,0,0.895410,0.7978,0.7815,0.7877,9e0bf857c97eb34,2,2.71
strong,omp,static,3200,6,156,0,0.691077,0.6759,0.6294,0.6561,9e0bf857c97eb34,2,2.71
strong,omp,dynamic,3200,6,156,0,0.760811,0.6640,0.6484,0.6553,9e0bf857c97eb34,2,2.71
strong,omp,static,3200,7,156,0,0.623537,0.5913,0.5454,0.5678,9e0bf857c97eb34,2,2.97
strong,omp,dynamic,3200,7,156,0,0.665305,0.5656,0.5568,0.5626,9e0bf857c97eb34,2,2.97
strong,omp,static,3200,8,156,0,0.531657,0.5220,0.4592,0.4954,9e0bf857c97eb34,2,2.97
strong,omp,dynamic,3200,8,156,0,0.602866,0.5016,0.4946,0.4974,9e0bf857c97eb34,2,2.97
strong,seq,seq,400,1,10000,0,2.967151,,,,423da4f6aba24111,3,2.97
strong,omp,static,400,1,10000,0,2.986248,2.9801,2.9801,2.9801,423da4f6aba24111,3,2.81
strong,omp,dynamic,400,1,10000,0,3.041912,3.0361,3.0361,3.0361,423da4f6aba24111,3,2.81
strong,omp,static,400,2,10000,0,1.534080,1.5228,1.4794,1.5011,423da4f6aba24111,3,2.67
strong,omp,dynamic,400,2,10000,0,1.539829,1.5262,1.5256,1.5259,423da4f6aba24111,3,2.67
strong,omp,static,400,3,10000,0,1.065235,1.0553,0.9899,1.0138,423da4f6aba24111,3,2.61
strong,omp,dynamic,400,3,10000,0,1.045970,1.0243,1.0215,1.0230,423da4f6aba24111,3,2.61
strong,omp,static,400,4,10000,0,0.769293,0.7558,0.7289,0.7436,423da4f6aba24111,3,2.61
strong,omp,dynamic,400,4,10000,0,0.825394,0.7735,0.7672,0.7704,423da4f6aba24111,3,2.61
strong,omp,static,400,5,10000,0,0.657810,0.6417,0.5828,0.6057,423da4f6aba24111,3,2.61
strong,omp,dynamic,400,5,10000,0,0.708150,0.6266,0.6209,0.6229,423da4f6aba24111,3,2.61
